site_name;count;start_datetime;end_datetime;longitude;latitude
Lyon 1_Pont la Feuillée OE corrigé;56;2023-04-05 07:00:00+02:00;2023-04-05 08:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;14;2023-04-05 06:00:00+02:00;2023-04-05 07:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;6;2023-04-05 05:00:00+02:00;2023-04-05 06:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;1;2023-04-05 04:00:00+02:00;2023-04-05 05:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;1;2023-04-05 03:00:00+02:00;2023-04-05 04:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;4;2023-04-05 02:00:00+02:00;2023-04-05 03:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;8;2023-04-05 01:00:00+02:00;2023-04-05 02:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;17;2023-04-05 00:00:00+02:00;2023-04-05 01:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;36;2023-04-04 23:00:00+02:00;2023-04-05 00:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;51;2023-04-04 22:00:00+02:00;2023-04-04 23:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;42;2023-04-04 21:00:00+02:00;2023-04-04 22:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;85;2023-04-04 20:00:00+02:00;2023-04-04 21:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;120;2023-04-04 19:00:00+02:00;2023-04-04 20:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;164;2023-04-04 18:00:00+02:00;2023-04-04 19:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;129;2023-04-04 17:00:00+02:00;2023-04-04 18:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;91;2023-04-04 16:00:00+02:00;2023-04-04 17:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;78;2023-04-04 15:00:00+02:00;2023-04-04 16:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;46;2023-04-04 14:00:00+02:00;2023-04-04 15:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;49;2023-04-04 13:00:00+02:00;2023-04-04 14:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;75;2023-04-04 12:00:00+02:00;2023-04-04 13:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;47;2023-04-04 11:00:00+02:00;2023-04-04 12:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;43;2023-04-04 10:00:00+02:00;2023-04-04 11:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;98;2023-04-04 09:00:00+02:00;2023-04-04 10:00:00+02:00;4.83;45.76675404
Lyon 1_Pont la Feuillée OE corrigé;180;2023-04-04 08:00:00+02:00;2023-04-04 09:00:00+02:00;4.83;45.76675404
