Adresse;count;start_datetime;end_datetime;longitude;latitude
Bas Montée St Sébastien;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;3.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;40.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;41.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;4.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;4.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.835058;45.772192
Bas Montée St Sébastien;4.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
Bas Montée St Sébastien;5.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
Bas Montée St Sébastien;0.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
Bas Montée St Sébastien;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
Bas Montée St Sébastien;53.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.835058;45.772192
