adresse,commune,lat_t,lon_t
"- La Rue du Pérou, depuis l'Avenue Roger Salengro, jusqu'à la Rue Edouard Vaillant (Villeurbanne) Le nouveau débouché de la Rue du Pérou à l'intersection au n°91 de l'Avenue Roger Salengro (Villeurbanne) - La Rue Edouard Vaillant, depuis la Rue du Pérou jusqu'à la Rue Alexis Perroncel (Villeurbanne) - La Rue Alexis Perroncel,depuis la Rue Edouard Vaillant jusqu'à la Rue Yvonne (Villeurbanne) - La Rue Yvonne, depuis la Rue Alexis Perroncel jusqu'à l'Avenue Roger Salengro (Villeurbanne) La création des nouvelles venelles dans le triangle formé par les Rue Alexis Perroncel, Rue Yvonne et la Plateforme du tramway T6.",Villeurbanne,,
Rue du Labour (Saint-Fons) ,Saint Fons,,
"du 52 au 80 Chemin Charbonnier (Vénissieux, Saint-Priest)",Venissieux,,
Face au 300 Montée des Lisières (Genay),Genay,,
 au 172 Avenue Barthélémy Buyer (Lyon 9ème Arrondissement),Lyon 5ème,,
9 Montée du Gourguillon (Lyon 5ème Arrondissement),Lyon 5ème,,
Entre le 99 et le 69 Rue de Surville (Lyon 7ème Arrondissement),Lyon 7ème,,
Boulevard Jules Carteret : Entre le Boulevard Chambaud de la Bruyère et Rue Saint Jean de Dieu (Lyon 7e Arrondissement),Lyon 7ème,,
Boulevard Chambaud de la Bruyère : Du carrefour avec l'Avenue Tony Garnier sur 200m au Sud (Lyon 7e Arrondissement) ,Lyon 7ème,,
Carrefour : Rue Marcel Semba / Rue Jules Guesde / Rue Charles Plasse / Avenue Charles de Gaulle (Saint-Fons),Saint Fons,,
14 Rue des Pierres Plantées (Lyon 1er Arrondissement),Lyon 1er,,
au 8A Chemin des Combes (Saint-Cyr-au-Mont-d'Or),Saint Cyr Au Mont d'Or,,
De façade à façade entre la rue de Verdun et le nouvel ouvrage de franchissement du canal de Jonage,Villeurbanne,,
Rue du Bourbonnais (Lyon 9e Arrondissement),Lyon 9ème,,
Du 142 Avenue Paul Marcellin jusqu'à l'Avenue Grandclément (Vaulx-en-Velin),Vaulx en Velin,,
Rue Maryse Bastié (Lyon 8e Arrondissement),Lyon 8ème,,
Du 11 au 13 Rue Elie Paris (Lyon 3e Arrondissement),Lyon 3ème,,
"Face au 4 jusqu'à côté 4 Chemin du Vallon, à proximité Avenue Maréchal Foch (Sainte-Foy-lès-Lyon)",Sainte Foy les Lyon,,
31 Rue Roger Radisson (Lyon 5ème Arrondissement),Lyon 5ème,,
"Montée des Balmes (Lyon 9e Arrondissement), dans le virage de la voie d'accès au cimetière de Saint Rambert",Lyon 9ème,,
au niveau du n°24 Rue Louis Guérin (Villeurbanne),Villeurbanne,,
Avenue Docteur Schweitzer (Meyzieu),Meyzieu,,
"Rue Pierre et Marie Curie, Rue Jean de La Fontaine et Impasse Jean de La Fontaine (Chassieu) ",Chassieu,,
Place André Latarjet (Lyon 8e Arrondissement),Lyon 8ème,,
Rue des Paquerettes  (Chassieu),Chassieu,,
Rue de la Viabert (Lyon 6e Arrondissement),Lyon 6ème,,
22 Chemin des Trois Noyers (Dardilly),Dardilly,,
Avenue du Commandant L'Herminier (Villeurbanne),Villeurbanne,,
2 Route Départementale 306 (Dardilly),Dardilly,,
6 Rue du Péage (Irigny),Irigny,,
Du 11 au 12 Rue du Griffon (Lyon 1er Arrondissement),Lyon 1er,,
Jardin mémoire des Victimes  du Génocide Perpétré contre les Tutsi  au Rwanda en 1994 (Lyon 7e Arrondissement),Lyon 7ème,,
Rue d'Alsace (Villeurbanne) PI2050,Villeurbanne,,
"Avenue Viviani du Boulevard des Etats-Unis (Lyon 8ème Arrondissement), à Avenue Jules Guesde (Vénissieux)",Venissieux,,
Face au 18 jusqu'au15B Rue François Molé (Villeurbanne),Villeurbanne,,
Du 95 au 122 Boulevard de l'Europe (Pierre-Bénite),Pierre Benite,,
27b Route de Jonage (Décines-Charpieu),Decines Charpieu,,
42 + début entrée du 33b Rue de la Visina (Irigny),Irigny,,
en face du 19 Rue Guilloud (Lyon 3e Arrondissement),Lyon 3ème,,
3 Rue Pierre Verger (Lyon 8e Arrondissement),Lyon 8ème,,
Au 62 Rue Duquesne (Lyon 6ème Arrondissement),Lyon 6ème,,
1 Rue du Stade (Craponne),Craponne,,
Carrefour de l'avenue Félix Faure avec Grande Rue de la Guillotière et Rue Jean-Marie Chavant (Lyon 7e Arrondissement),Lyon 7ème,,
carrefour Vauban/ Duguesclin,Lyon 6ème,,
"Du 67b Ancienne Route de Strasbourg (Caluire-et-Cuire), au 86 Route de Strasbourg (Caluire-et-Cuire)",Caluire et Cuire,,
16 Rue Roquette (Lyon 9e Arrondissement),Lyon 9ème,,
"Avenue de l'Europe : Entre l'Impasse de l'Hippodrome jusqu'au grand carrefour Avenue Pierre Mendès France (Bron, Saint-Priest)",Bron,,
"370 - 372 Route de Genas (Bron, Vaulx-en-Velin)",Bron,,
"Carrefour : Avenue d'Orcha / Allée du Mens / Avenue Gaston Monmousseau sur 60m au Nord et 150m au Sud-Est, puis sur 400m au Nord-Est en passant par les parcelles pour rejoindre le Chemin du Mont Gerbier puis Chemin des Echarmeaux (Vaulx-en-Velin, Villeurbanne)",Vaulx en Velin,,
Rue Chaponnay de l'Avenue Maréchal de Saxe à Rue Garibaldi à Lyon 3e Arrondissement,Lyon 3ème,,
 De façade à façade rue Marcellin entre l'avenue Hénaff et la rue Dimitrov,Vaulx en Velin,,
Pont Alphonse Juin (Lyon 2e et 5e Arrondissement),Lyon 5ème,,
"Place Kellermann, entre la rue Elisée Reclus et l'avenue Jean Jaurès (Oullins-Pierre-Bénite)",Oullins,,
"Place Charles de Gaulle, et Avenue Gisèle Halimi de l'Allée Jean Moulin à la Rue Louise Michel, et Allée Jacques Duclos de l'Avenue Gisèle Halimi et la Rue Louise Michel (Givors)",Givors,,
"- Avenue Vincent Serre, sur tout son tracé, ainsi que traversée du Giratoire de Lattre de Tassigny pour la Voie Lyonnaise 8 (Tassin-la-Demi-Lune) - Création d'un marquage d'une bande cyclable en sens Ouest-Est sur l'Avenue de la République (Tassin-la-Demi-Lune) - Avenue Barthélémy Buyer, depuis le Giratoire de Lattre jusqu'à l'Avenue Sidoine Apollinaire.  - Avenue Sidoine Appolinaire, entre Avenue Barthélémy Buyer et Rue Gravière (Lyon 9e Arrondissement)",Tassin la Demi Lune,,
