adresse,commune,lat_t,lon_t
Au niveau du 25bis Quai Clemenceau (Caluire-et-Cuire) à plus ou moins 10 mètres,Caluire et Cuire,,
Au niveau du 4 Montée des Forts (Caluire-et-Cuire) à plus ou moins 10 m,Caluire et Cuire,,
à côté 32 Boulevard Louis Pradel (Jonage) proximité Rue du Lavoir (Jonage),Jonage,,
15 Avenue Guy de Collongue (Écully),Ecully,,
Rue Stalingrad (Vaulx-en-Velin),Vaulx en Velin,,
Du 93 au 95 Route de Strasbourg (Caluire-et-Cuire),Caluire et Cuire,,
au 82 Rue des Jardins (Villeurbanne),Villeurbanne,,
79 Avenue Barthélémy Buyer (Lyon 5ème Arrondissement),Lyon 5ème,,
13 Rue de Bonald (Lyon 7e Arrondissement),Lyon 7ème,,
19 Rue Burdeau (Lyon 1er Arrondissement),Lyon 1er,,
2 Rue de la Monnaie (Lyon 2ème Arrondissement),Lyon 2ème,,
22 Rue Saint Maximin (Lyon 3e Arrondissement),Lyon 3ème,,
Du 3 Rue Rabelais (Saint-Fons),Saint Fons,,
49 Rue de la Feyssine (Villeurbanne),Villeurbanne,,
Face au 5 Rue Marie Curie (Corbas),Corbas,,
16 Avenue du 24 Août 1944 (Corbas),Corbas,,
Rue Paul-Michel Perret (Lyon 6e Arrondissement),Lyon 6ème,,
21 Allée des Côteaux (Lissieu),Lissieu,,
Enface du 71 et 73 Rue Baraban (Lyon 3e Arrondissement),Lyon 3ème,,
Angle Rue Antoine Charial et Rue Baraban (Lyon 3e Arrondissement),Lyon 3ème,,
21 Chemin du Vieux Puits (Genay),Genay,,
25 Chemin du Pras (La Mulatière),La Mulatiere,,
Entre le 11 et 12 Chemin du Vieux Collège (Feyzin),Feyzin,,
Avenue de Taffignon	Francheville	Métropole,Francheville,,
Rue du Fort Saint Irénée (Lyon 5e Arrondissement),Lyon 5ème,,
Quai Maréchal Joffre (Lyon 2e Arrondissement),Lyon 2ème,,
Avenue Rockefeller du Boulevard Ambroise Paré à la rue Laborde (Lyon 8e Arrondissement),Bron,,
"Route de Genas, à proximité Rue André Chénier, jusque Face au 61 Route de Genas (Vaulx-en-Velin)",Bron,,
Projet T10 SYTRAL  Saint Jean De Dieu du 23 au 65,Lyon 7ème,,
Chemin de la Station (Dardilly),Dardilly,,
du carrefour Zola/Gérin au carrefour Zola Ambroize Croizat inclus,Venissieux,,
Variante Zola-Jaures du T10 SYTRAL  Rue Zola : du 1 au 11  Rue Jaures : du 1 au 46,Venissieux,,
Variante Gérin du T10 Sytral  Boulevard Gérin : du 12 au 43  Eugène Maréchal : du 1 au 8,Venissieux,,
47 Rue Pierre Corneille (Lyon 6ème Arrondissement),Lyon 6ème,,
de montessuy apres le college a l'angle Dr laennec.,Caluire et Cuire,,
Au droit du n°1 Place Bénédicte Teissier (LYON 5),Lyon 5ème,,
"Au droit du n°81, Avenue du Point du Jour (LYON 5)",Lyon 5ème,,
30 Chemin des Hermières (Francheville),Francheville,,
devant le 23 Route de Genas (Vaulx-en-Velin),Bron,,
au 61 Avenue Charles de Gaulle (Saint-Genis-Laval),Saint Genis Laval,,
"Du 76 Avenue Victor Hugo, au 26 Avenue Victor Hugo (Rillieux-la-Pape), et du 2660 Route de Strasbourg, au 2489 Route de Strasbourg (Rillieux-la-Pape)",Rillieux la Pape,,
Du 1 Route des Monts d'Or (Albigny-sur-Saône) au 14 Avenue Gabriel Péri (Albigny-sur-Saône),Albigny sur Saone,,
Travaux seulement sur Place de la République (Rochetaillée-sur-Saône),Rochetaillee Sur Saone,,
Avenue Franklin Roosevelt (Bron),Bron,,
Rue de Bonnel (Lyon 3e Arrondissement),Lyon 3ème,,
203 Rue Garibaldi (Lyon 3e Arrondissement) entrée du chantier M+ PI 7538,Lyon 3ème,,
Place de Stepanavan devant le 25 avenue Jean Jaurès (Décines-Charpieu),Decines Charpieu,,
"Entre le Quai Gailleton à Lyon 2e jusqu'à la Rue de l'Epargne dans le 7e arrondissement de Lyon en Passant par le Pont de l'Université, la Rue de l'Université, la Rue Marc Bloch, la Rue Garibaldi (tronc commun VL7) et la Rue Camille Roy (Lyon 2e  et 7e Arrondissement)",Lyon 7ème,,
Projet T10 SYTRAL  Blv Jules Carteret du 1 au 25,Lyon 7ème,,
Rue Francisque Jomard (Oullins),Oullins,,
15 Montée de Verdun (Tassin-la-Demi-Lune),Tassin la Demi Lune,,
Rue Stéphane Déchant (La Mulatière) angle Pont de La Mulatière ,La Mulatiere,,
Du 70 Rue Emile Decorps puis rue du Vinatier de la route de Genas (Villeurbanne) au boulevard Pinel et le boulevard Pinel de l'avenue du Doyen Jean Lépine (Bron) à la rue Chambovet (Lyon 3ème Arrondissement),Bron,,
"Du 24 Rue des Bruyères (Tassin-la-Demi-Lune), au 42 Chemin Finat Duclos (Tassin-la-Demi-Lune)",Tassin la Demi Lune,,
De façade à façade allée du Mens entre l'avenue Orcha et la rue des marais (Villeurbanne),Villeurbanne,,
Place du 11 novembre 1918 et 8 mai 1945 (Vernaison),Vernaison,,
Du 18 au 4 Rue d'Agadir (Oullins),Oullins,,
"Du 488 Rue Blanche Dumont, au croisement de la Rue des Pierres Blanches et de l'Allée des Colombières (Craponne)",Craponne,,
Au 67 rue du Dauphiné et au 44 Avenue Lacassagnee (Lyon 3e Arrondissement),Lyon 3ème,,
"Au droit du n°7, Place Bénédicte Teissier, (Lyon 5ème Arrondissement)",Lyon 5ème,,
23 Rue Crillon (Lyon 6ème Arrondissement),Lyon 6ème,,
Passage sous ouvrage sur plateforme tramway du Cours Charlemagne à Place Carnot en passant par la Station Perrache (Lyon 2e Arrondissement),Lyon 2ème,,
Avenue Leclerc entre la Rue Antonin Perrin et Rue Commandant Ayasse (Lyon 7e Arrondissement),Lyon 7ème,,
Face au 5 Rue Paul Bert (Vénissieux),Venissieux,,
Rue des Frères Emmanuel-Joseph et Louis Amadéo (Vénissieux),Venissieux,,
 « En face Collège Victor Grignard » Avenue Paul Santy (Lyon 8e Arrondissement),Lyon 8ème,,
Boulevard des Droits de l'homme entre le  prolongement de la rue Brunel et la rue Grosso,Vaulx en Velin,,
Face au 19 jusqu'en Face au 23 Chemin du Tunnel (Rillieux-la-Pape),Rillieux la Pape,,
à proximité du 6 Rue Commandant Charcot (Lyon 5e Arrondissement) PI 293,Lyon 5ème,,
Av Brosset entre le parc de la Pomme et le carrefour Libération(Tassin-la-Demi-Lune),Tassin la Demi Lune,,
Route de Brignais entre Charles de Gaulle et Joliot Curie(Tassin-la-Demi-Lune),Tassin la Demi Lune,,
Neuville sur Saône Place Capitaine Billon	,Neuville sur Saone,,
295 Route de Genas (Villeurbanne),Bron,,
4 Avenue Jean Jaurès (Rillieux-la-Pape),Rillieux la Pape,,
Avenue Lacassagne / Impasse Lindbergh (Lyon 3e Arrondissement) PI 1681 ,Lyon 3ème,,
Face au 21 jusqu'en Face au 11 Rue Jules Guesde (Villeurbanne),Villeurbanne,,
Projet T10 SYTRAL  Av République : du 1 au 57,Venissieux,,
Rue Ornano et impasse Flesselles ( Lyon 1er Arrondissement),Lyon 1er,,
1 Rue des Fantasques (Lyon 1er Arrondissement),Lyon 1er,,
57 Rue de la Batterie (Bron),Bron,,
Rue Marietton (Lyon 9e Arrondissement),Lyon 9ème,,
- Rue Pasteur entre les Rues Montessuy et Rue Professuer Roux (Caluire-et-Cuire) - Rue Montessuy entre les Rues Pasteur et Rue Paul Painlevé (Caluire-et-Cuire) - Rue Paul Painlevé (Caluire-et-Cuire) - Rue Professeur Roux (Caluire-et-Cuire) - Allée Turba et Choux entre les Rues Paul Painlevé et Rue Professeur Roux (Caluire-et-Cuire) - Place Calmette (Caluire-et-Cuire) - Parvis de l'église Sainte Bernadette (Caluire-et-Cuire),Caluire et Cuire,,
"Boulevard Marius Vivier-Merle (du Nord du carrefour Rue Servient au Sud du carrefour Rue Georges Pompidou), pour l'aménagement du Boulevard Vivier-Merle (Lyon 3e Arrondissement)	",Lyon 3ème,,
Du 37 au 24 Rue Louis Aulagne (Oullins),Oullins,,
Place Colbert (Lyon 1er Arrondissement),Lyon 1er,,
5B Rue Christian Lacouture (Bron),Bron,,
13 Rue René (Villeurbanne),Villeurbanne,,
"Du 88 Avenue du Chater (Francheville), au 53b Route de la Libération (Sainte-Foy-lès-Lyon)",Sainte Foy les Lyon,,
Rue Jean Jaurès (Villeurbanne) : De Rue Antonin Perrin à Avenue Antoine de Saint-Exupéry,Villeurbanne,,
19 Rue des Granges (Lyon 5e Arrondissement),Lyon 5ème,,
"207 Avenue Barthélémy Buyer (Lyon 5e Arrondissement), avant angle rue Belamin",Lyon 5ème,,
"Pont Pasteur (Lyon 7e Arrondissement), après Hôtel Mercure direction Cours Charlemagne",Lyon 7ème,,
"Rue Docteur Bouchut, amorce trottoir est de la rue des Cuirassiers (Lyon 3e Arrondissement)",Lyon 3ème,,
Du 16 au 32 Quai Victor Augagneur (Lyon 3ème Arrondissement),Lyon 3ème,,
112 à 116 Boulevard Marius Vivier-Merle (Lyon 3e Arrondissement),Lyon 3ème,,
angle Visina Rue de Grange Haute (Irigny),Irigny,,
Du 8 au 76 rue Paul et Marc Barbezat (Décines-Charpieu),Decines Charpieu,,
face au 432 Cours Emile Zola (Villeurbanne),Villeurbanne,,
13 A Montée de Verdun (Tassin-la-Demi-Lune),Tassin la Demi Lune,,
Avenue Charles De Gaulle entre le carrefour Libération et la route de Brignais(Tassin-la-Demi-Lune),Tassin la Demi Lune,,
193 Route de Frontigny (Charly),Charly,,
2 Avenue Louis Armand (Saint-Germain-au-Mont-d'Or),Saint Germain Au Mont d'Or,,
Face au 25 jusqu'au 27t Route de Jonage (Décines-Charpieu),Decines Charpieu,,
"Rue des Trois Pierres, Rue Creuzet (Lyon 7e Arrondissement)",Lyon 7ème,,
97-101 Avenue Maréchal de Saxe,Lyon 3ème,,
Allée du Cimetière (Mulatière (La)),La Mulatiere,,
Avenue Salvador Allende (Saint-Priest),Saint Priest,,
4 Rue de l'Ecole (Rillieux-la-Pape),Rillieux la Pape,,
"Place Gabriel Péri, du Cours Gambetta a la Rue Passet, et la Rue Béchevelin de la Place Gabriel Péri au n°3 Rue Béchevelin (Lyon 3e et7e Arrondissement)",Lyon 7ème,,
Du 66 au 94 boulevard de l’Europe (PIERRE-BENITE),Pierre Benite,,
Quai des Célestins (Lyon 2ème Arrondissement) : Du Pont Bonaparte au 8 Quai des Célestins,Lyon 2ème,,
Croisement Rue du Rail & Avenue Bataillon Carmagnole Liberté (Vaulx-en-Velin),Vaulx en Velin,,
"Rue Chalopin, Rue Capitaine Robert Cluzan, et Rue Pasteur (Lyon 7e Arrondissement)",Lyon 7ème,,
Avenue Bataillon Carmagnole Liberté (Vaulx-en-Velin),Vaulx en Velin,,
"Au droit du n°24, Rue de Champvert (Lyon 5e Arrondissement)",Lyon 5ème,,
Du 3 au 10 Rue de la Ligne de l 'EST (Villeurbanne),Villeurbanne,,
"86 à 90 Avenue Roger Salengro, et du 3 au 23 Rue du Pérou + carrefour avec la Rue Edouard Vaillant (Villeurbanne)",Villeurbanne,,
"Du 35 Rue Centrale, au 8 Rue Centrale (Craponne)",Craponne,,
37 et en face du 2 Rue Claude Rouget de l'Isle (Givors),Givors,,
du 1 au 7 Rue de la Sarrazine (Oullins),Oullins,,
"N°13 Rue François Génin, carrefour Rue François Génin / Rue Arnoud (Lyon 5ème Arrondissement)",Lyon 5ème,,
Sud du 12 Rue Edouard Vaillant (Saint-Fons),Saint Fons,,
Rue Servient,Lyon 3ème,,
"Du 132 Avenue Pierre Dumond, au 30 Allée des Colombières (Craponne)",Craponne,,
10 Rue Lamartine (Lyon 3ème Arrondissement),Lyon 3ème,,
"Au droit du n°14, Rue des Aqueducs (LYON 5)",Lyon 5ème,,
Au droit du n°9 Rue de Champvert (LYON 5),Lyon 5ème,,
Place Antonin Gourju (Lyon 2e Arrondissement) PI 8649,Lyon 2ème,,
du 91 au 93 Avenue Edouard Millaud (Craponne),Craponne,,
"2 Chemin de la Vire, au 7 Chemin de la Vire (Caluire-et-Cuire)",Caluire et Cuire,,
"- Rue Louis Braille, de la Rue Rhin et Danube à Avenue Pierre Mendès France (Saint-Priest) - Avenue Pierre Mendès France, de Rue Louis Braille à Rue de la Cordière (Saint-Priest)",Saint Priest,,
 à proxilité du 20 Montée du Chemin Neuf (Lyon 5e Arrondissement) PI 316,Lyon 5ème,,
22 Avenue Maréchal de Saxe (Lyon 6ème Arrondissement),Lyon 6ème,,
face 27 Rue de Sèze (Lyon 6e Arrondissement),Lyon 6ème,,
Rue de l'Antiquaille et Rue Cléberg (Lyon 5ème Arrondissement),Lyon 5ème,,
"- Du 2 Chemin du Vieux Crépieux (Caluire-et-Cuire), au 11 Chemin du Vieux Crépieux (Rillieux-la-Pape),  - Du 14 Route de Strasbourg, au 27 Route de Strasbourg (Rillieux-la-Pape),  Du 105 Route de Strasbourg, au 114 Route de Strasbourg (Caluire-et-Cuire)",Caluire et Cuire,,
Angle Rue Viala / Rue Martin (LYON 3),Lyon 3ème,,
"Avenue de Menival, depuis Rue Nicolas Sicard  jusqu'à Avenue Général Eisenhower (Tassin-la-Demi-Lune, Lyon 5e Arrondissement)",Lyon 5ème,,
"à côté  45 Route de Chasselay, jusqu'à côté 13 Rue Antoine-Marius Bérerd (Quincieux)",Quincieux,,
1 Allée du Château (Lissieu),Lissieu,,
"Rue d'Inkermann, entre Rue Millon et Cours Emile Zola (Villeurbanne) Coordonnées GPS de l'emprise (format WGS84) : 4.865764398640891 45.76907064812049",Villeurbanne,,
Projet T10 SYTRAL  rue Carnot du 1 au 77,Saint Fons,,
Projet T10 SYTRAL  Blv Lucien Sampaix du 1 au 26,Saint Fons,,
du 18 au 24 Chemin des Moulins (ST-GENIS-LAVAL),Saint Genis Laval,,
Passage Rey,Villeurbanne,,
"Création Carrefour à feux Route D'Ecully, Avenue de Verdun, Rue de la Mairie, Chemin de la Liasse (Dardilly)",Dardilly,,
"4 endroits ; 1 ère endroit : Rue Saint Simon (Lyon 9ème Arrondissement) Angle  Rue de Bourgogne (Lyon 9ème Arrondissement), 2 ème endroit : Face au 69 Avenue 25ème Régiment des Tirailleurs Sénégalais (Lyon 9ème Arrondissement), 3 ème endroit : Face au 71 Avenue 25ème Régiment des Tirailleurs Sénégalais (Lyon 9ème Arrondissement), 4 ème endroit : Avenue 25ème Régiment des Tirailleurs Sénégalais (Lyon 9ème Arrondissement) à proximité Rue de Bourgogne (Lyon 9ème Arrondissement)",Lyon 9ème,,
7 Rue du Vieux Château (Francheville),Francheville,,
De façade à façade Rue Bataillon Carmagnole Liberté entre la Rue de la Poudrette et la Rue Roger Salengro (Vaulx-en-Velin),Vaulx en Velin,,
49 Rue Servient (Lyon 3ème Arrondissement),Lyon 3ème,,
Rue Jean Voillot (Villeurbanne),Villeurbanne,,
"Rue Jules Verne (Saint-Priest), devant la place appelé ""Parking P3 parc du fort""",Saint Priest,,
 2b Rue de la Boube (Villeurbanne),Villeurbanne,,
"du Rue de l'Eglise, au 53 Cours Richard Vitton (Lyon 3ème Arrondissement)",Lyon 3ème,,
26 Rue du 11 Novembre 1918 (Craponne),Craponne,,
"88 Rue Charton, angle  Rue Louis-Auguste Blanqui (Oullins)",Oullins,,
14 Rue Ampère angle Rue Marx Dormoy (Oullins) Coordonnées GPS de l'emprise (format WGS84) : 4.812779872028562 45.70821106789108,Oullins,,
18 Boulevard Marcel Dassault (Jonage),Jonage,,
42 Grande Rue de la Guillotière (Lyon 7e Arrondissement),Lyon 7ème,,
Du 4 au 6 Rue Jean-Baptiste Fayolle (Craponne),Craponne,,
"Face au n°257 Avenue Lacassagne, angle Boulevard Pinel (Lyon 3e Arrondissement)",Lyon 3ème,,
Rue Louis Pasteur (Oullins),Oullins,,
"Rue Michel Rambaud (Lyon 6e Arrondissement), avant angle Cours Vitton",Lyon 6ème,,
"176 Avenue Thiers (Lyon 6e Arrondissement), direction Gare Part-Dieu",Lyon 6ème,,
Avenue d'Ecully (Champagne-au-Mont-d'Or),Lyon 9ème,,
8 Allée du Château (angle Rue de la Liberté) (Mions),Mions,,
16 Avenue Pierre Mendès France (Saint-Priest),Saint Priest,,
"Rue de Saint-Cyr,angle Rue des Rivières  (Lyon 9e Arrondissement), ",Lyon 9ème,,
34 -36 Rue Alfred de Musset (Villeurbanne),Villeurbanne,,
Rue des Frères Lumières et 3 Rue Jean Gabin (Vaulx-en-Velin),Vaulx en Velin,,
Angle Rue André Bollier et Avenue Leclerc (Lyon 7e Arrondissement),Lyon 7ème,,
1 fouille angle nord-est du croisement Boulevard Yves Farge et Rue Victor Lagrange (Lyon 7e Arrondissement) + 1 fouille sous voies SNCF trottoir Est Boulevard Yves Farges (Lyon 7e Arrondissement),Lyon 7ème,,
Face au 6 Rue de l'Egalité (Décines-Charpieu),Decines Charpieu,,
Du 14 au 24 Rue Jacquard (Oullins),Oullins,,
Rue de Verdun (Caluire-et-Cuire),Caluire et Cuire,,
Face au 250 Route de Genas (Bron),Bron,,
28 Rue Coste (Caluire-et-Cuire),Caluire et Cuire,,
Rue Pierre Valdo (Lyon 5e Arrondissement) Place César Geoffray LYON 5 ,Lyon 5ème,,
Rue Paul Montrochet entre Quai Rambaud  (la capitainerie) et le Cours Charlemagne (Lyon 2e Arrondissement),Lyon 2ème,,
"Rue des Mercières, (Rillieux-la-Pape)",Rillieux la Pape,,
" Chemin de Chantegrillet, de l'Avenue du Chater à la limite de la commune (Chemin Antoinette)  Sainte-Foy-lès-Lyon (Francheville)",Francheville,,
du 2 au13 Cité Georges Dimitrov (Givors),Givors,,
"Rue de la Feyssine entre le rond-point Charles de Gaulle et avenue Albert Einstein, Villeurbanne",Villeurbanne,,
au 241 Avenue Général Frère (Lyon 8ème Arrondissement),Lyon 8ème,,
42 Rue de la Moselle (LYON 8),Lyon 8ème,,
 Du 1  Rue du 8 Mai 1945  au au Parc des Gorges d'Enfer (SAINT-GERMAIN-AU-MONT-D'OR),Saint Germain Au Mont d'Or,,
Projet T10 SYTRAL  Rue Charles Plasse : du 1 au 49,Saint Fons,,
Projet T10 SYTRAL  Rue Marcel Sembat du 1 au 27,Saint Fons,,
 49 Avenue Henri Barbusse (Albigny-sur-Saône) PI 3679,Albigny sur Saone,,
Du 52 au 54 Rue Coste (Caluire-et-Cuire),Caluire et Cuire,,
112-118 Chemin du Moulin Carron (Écully),Ecully,,
au 62 Rue de Bonnel (Lyon 3ème Arrondissement),Lyon 3ème,,
Rue Paul Bert (Lyon 3e Arrondissement),Lyon 3ème,,
"Rue Servient (Lyon 3e Arrondissement), avant angle rue Garibaldi",Lyon 3ème,,
"Avenue du 8 mai 1945, (Rillieux-la-Pape)",Rillieux la Pape,,
38 Rue Victor Lagrange (Lyon 7e Arrondissement),Lyon 7ème,,
154 Route de Genas (LYON 3e) PI 1004,Lyon 3ème,,
Route de Strasbourg (Rillieux-la-Pape),Rillieux la Pape,,
"Du 28 Rue Baraban (Lyon 3ème Arrondissement), au 308 Cours Lafayette (Lyon 3ème Arrondissement)",Lyon 3ème,,
Avenue de Verdun (Meyzieu),Meyzieu,,
"rue Jean Sarrazin, rue de la Concorde et rue Varichon Le square va également être en travaux après dépose d'une partie de l'école provisoire",Lyon 8ème,,
70 Grande Rue (Francheville),Francheville,,
Face au 52 Chemin de Charvery (Lissieu),Lissieu,,
"3 endroits ; 1 ère endroit : à côté 25 Rue Chinard (Lyon 9ème Arrondissement), 2 ème endroit : à côté  22 Rue Chinard (Lyon 9ème Arrondissement) à proximité  Rue de Bourgogne (Lyon 9ème Arrondissement) , 3 ème endroit : Angle  Rue de Bourgogne (Lyon 9ème Arrondissement) et Rue Chinard (Lyon 9ème Arrondissement)",Lyon 9ème,,
"3 endroits ; 1 ère endroit : Face au 57 Rue de la Claire (Lyon 9ème Arrondissement), 2 ème endroit : Angle Rue de Bourgogne (Lyon 9ème Arrondissement) et Rue de la Claire (Lyon 9ème Arrondissement), 3 ème endroit : Entre 47 et 49 Rue de la Claire (Lyon 9ème Arrondissement)",Lyon 9ème,,
Rue des Terres Plates (Craponne),Craponne,,
Rue Garibaldi des rues d'Arménie et du Pensionnat à Lyon 3 jusqu'à la Grande Rue de la Guillotière à Lyon 7e,Lyon 7ème,,
Rue René Peillon du 14 à chemin de Freyssinet,Givors,,
au 12 Rue du Docteur Laënnec (Caluire-et-Cuire),Caluire et Cuire,,
5 Montée Cardinal Decourtray (Lyon 5ème Arrondissement),Lyon 5ème,,
"Avenue Louis Armand (Saint-Germain-au-Mont-d'Or) Tampon mise à la cote sur le parking,et rescellement de la grille en face de la sablière",Saint Germain Au Mont d'Or,,
"Rue Victor Basch, entre Rue Chevreul et Boulevard Eugène Réguillon ( Villeurbanne) Coordonnées GPS de l'emprise (format WGS84) : 4.897382451379881 45.76277620848677",Villeurbanne,,
21 + 24 Avenue Barthélémy Thimonnier (Caluire-et-Cuire),Caluire et Cuire,,
"Rue Lortet, Rue Pré Gaudry et Boulevard Yves Farge (Lyon 7e Arrondissement)",Lyon 7ème,,
à côté  2 Rue Louis Pergaud (Chassieu),Chassieu,,
196 Rue André Philip / rue Servient (Lyon 3e Arrondissement) PI 9012,Lyon 3ème,,
"à proximité du 129 Rue Servient, sous la Passerelle Piétonne, à l'axe du pilier (Lyon 3e Arrondissement) PI 3572",Lyon 3ème,,
7 Rue Bodin (Lyon 1er Arrondissement),Lyon 1er,,
Face au 18 jusqu'au 18c Chemin de la Buchette (Lissieu),Lissieu,,
Entre 11 et 9 Chemin de Balme Baron (Rillieux-la-Pape),Rillieux la Pape,,
Du 83 au 89 Rue d'Athènes (Rillieux-la-Pape),Rillieux la Pape,,
20 Rue Auguste Comte (Lyon 2ème Arrondissement),Lyon 2ème,,
2 Rue Hélène Boucher (Bron),Bron,,
Du 93 Route de Strasbourg (Caluire-et-Cuire),Caluire et Cuire,,
Grande rue de Saint Clair (Caluire-et-Cuire),Caluire et Cuire,,
"Route de Brignais, entre Rue de la Garenne et Rue Joliot Curie (Tassin-la-Demi-Lune)",Lyon 5ème,,
"Face au 215 jusqu'à côté 150 Avenue Lacassagne, et au 85 Rue Trarieux (Lyon 3ème Arrondissement) à proximité Rue Trarieux (Lyon 3ème Arrondissement)",Lyon 3ème,,
Pont de lattre de tassigny côté 6eme arrondissement (Lyon 6e Arrondissement),Lyon 6ème,,
164 Route de Saint André de Corcy (Genay),Genay,,
9 Rue Pasteur (Tassin-la-Demi-Lune),Tassin la Demi Lune,,
"Avenue de Champagne, angle Boulevard de Balmont  (Lyon 9 Arrondissement) ",Lyon 9ème,,
 au 215 Rue de Bonnel (Lyon 3ème Arrondissement),Lyon 3ème,,
2 Rue Crépet (Lyon 7ème Arrondissement),Lyon 7ème,,
126 Chemin de Crépieux (Caluire-et-Cuire),Caluire et Cuire,,
34 Rue Joseph Chalier (LYON 8),Lyon 8ème,,
"Du 126 Chemin de Choulans, au 114 Chemin de Choulans (Lyon 5ème Arrondissement)",Lyon 5ème,,
"face au 2266, Avenue de l'Europe (Rillieux-la-Pape)",Rillieux la Pape,,
Rue Jean Grolier (Lyon 7ème Arrondissement),Lyon 7ème,,
75 Rue de Marseille (Lyon 7ème Arrondissement),Lyon 7ème,,
34 Rue Sainte Marie (Lyon 3ème Arrondissement),Lyon 3ème,,
au 46 Rue Georges-Martin Witkowski (Lyon 5ème Arrondissement),Lyon 5ème,,
" Du 66 Rue Louis Becker, au 92 Rue Louis Becker (Villeurbanne)",Lyon 6ème,,
Rue du Chatenay (Chassieu),Chassieu,,
30-36 chemin de la molinette,Saint Genis Laval,,
"Rue de la République, entre Avenue Docteur Schweitzer et Rue Jean Macé (Meyzieu)",Meyzieu,,
Du 59 au 33 Rue Louis-Auguste Blanqui (Oullins),Oullins,,
Rue Romain Rolland (Givors),Givors,,
21 Rue Pascal (Villeurbanne),Villeurbanne,,
Face au 173 jusqu'au 153 Rue de Ponterle (Craponne),Craponne,,
21 Avenue Barthélémy Thimonnier (CALUIRE),Caluire et Cuire,,
"Route de Genas : Du Carrefour des Sept Chemins au 240 Route de Genas (Bron, Villeurbanne, Vaulx-en-Velin, Chassieu, Décines-Charpieu)",Bron,,
du 12 au 28 Boulevard de l'Artillerie (Lyon 7e Arrondissement),Lyon 7ème,,
Chemin des Combes (Saint-Didier-au-Mont-d'Or),Saint Didier au Mont d'Or,,
82 Chemin de Champ Fleuri (Genay),Genay,,
3B Rue de Rochetaillée (Fleurieu-sur-Saône),Fleurieu Sur Saone,,
Rue de la Cadière (du Chemin du Buisset au chemin des Chassagnes) (La Mulatière),La Mulatiere,,
Au droit du  26 chemin de Couter jusqu'à l'angle chemin de Couter / Chemin du Cèdre,Saint Cyr Au Mont d'Or,,
Avenue Rigot Vitton (Fontaines Sur Saône),Fontaines Sur Saone,,
10b Rue de Cuire (Lyon 4ème Arrondissement),Lyon 4ème,,
"12 Avenue Verguin, Lyon 6e Arrondissement",Lyon 6ème,,
128 -141 Rue Ampère (Pierre-Bénite),Pierre Benite,,
Rue Joseph Desbois (Meyzieu),Meyzieu,,
Rue Trarieux (entre Cours Eugénie et le n° 93 Rue Trarieux) ( Lyon 3ème Arrondissement),Lyon 3ème,,
Avenue du Lac (Saint-Genis-Laval) : De Route de Charly à Chemin de la Citadelle. Avenue Bel Air (Saint-Genis-Laval) : De Avenue du Lac à Chemin de la Citadelle (Saint Genis-Laval),Saint Genis Laval,,
Intersection Chemin du Moulin Carron / Chemin du Tronchon (Écully),Ecully,,
"Chemin des Cailloux, Chemin du Devey, et Route du Bas Privas (Charly) ",Charly,,
"Avenue Général Leclerc, entre Chemin de Crépieux et Chemin Pierre Drevet (Caluire-et-Cuire, Rillieux-la-Pape),  ",Caluire et Cuire,,
39 Rue des Frères Emmanuel-Joseph et Louis Amadéo (Vénissieux),Venissieux,,
"Rue des Rancy, entre Rue Céqui et Rue Garibaldi (Lyon 3e Arrondissement) Coordonnées GPS de l'emprise (format WGS84) : 4.850109570701935 45.75608405554493 Coordonnées GPS de l'emprise (format WGS84) : 4.8507760416771255 45.75607753080693",Lyon 3ème,,
"Carrefour Rue Joliot Curie, Route de Brignais, et Chemin des Ifs (Francheville, Tassin-la-Demi-Lune)",Lyon 5ème,,
Route de Strasbourg (Caluire-et-Cuire) face ancienne route de Strasbourg,Caluire et Cuire,,
19 Chemin de Chantegrillet (Sainte-Foy-lès-Lyon),Sainte Foy les Lyon,,
au 9 Rue de l'Egalité (Mions),Mions,,
Chemin du Devey,Charly,,
2-6 Rue du 24 Février 1848 (Villeurbanne),Villeurbanne,,
"Au droit du n°31 Rue Docteur Albéric Pont, carrefour Rue Docteur Albéric Pont / Rue des Granges (Lyon 5ème Arrondissement)",Lyon 5ème,,
Avenue Charles de Gaulle de la rue Allende au carrefour Patsy o Hara ,Vaulx en Velin,,
Au droit n°15-17-19 Rue Docteur Albéric Pont (LYON 5),Lyon 5ème,,
Rue Bancel/Rue Chevreul (Lyon 7e Arrondissement) PI 926,Lyon 7ème,,
Avenue de Böhlen (Vaulx-en-Velin),Vaulx en Velin,,
Rue du 24 Avril 1915 (Meyzieu),Meyzieu,,
Rue des Brosses (Villeurbanne),Villeurbanne,,
"-Avenue Jean Jaurès : Du carrefour Avenue Pierre Sémard / Avenue de la République en passant par la Rue Carnot et Rue Eugène Peloux jusqu'au carrefour Avenue Jean Jaurès / Rue Emile Zola / Rue Carnot / Rue Paul Langevin, -Rue Emile Zola : Du carrefour Rue Jean Vilar / Rue Emile Zola au carrefour Rue Paul Langevin / Avenue Jean Jaurès / Rue Carnot (Vénissieux)",Venissieux,,
Chemin des Martyrs (Rillieux-la-Pape),Rillieux la Pape,,
175 Rue Paul Bert (Lyon 3e Arrondissement),Lyon 3ème,,
 au 257 Rue de Ponterle (Craponne),Craponne,,
Du 25 au 1 Rue Jaboulay (Oullins),Oullins,,
