numero;intervenant;nature_chantier;nature_travaux;etat;date_debut;date_fin;mesures_police;last_update;adresse;commune;code_insee;contact_tel;contact_mail;contact_url;gid
202513020;ENEDIS;Branchements réseau électrique > 25 ml;Construction de branchement électrique > 25 ml;Validé;2026-01-06;2026-02-06;;2025-12-16 15:02:03.698911+01:00;Du 115 Route de Strasbourg à en face du 40 Route de Strasbourg (Caluire-et-Cuire, Rillieux-la-Pape);Caluire et Cuire;69034;;;www.enedis.fr/aide_contact;200648
202513026;ENEDIS;Branchements réseau électrique > 25 ml;Construction de branchement électrique > 25 ml;Validé;2026-01-05;2026-02-13;;2025-12-16 15:02:03.764577+01:00;Du 34 au 20 Rue Docteur Horand	(Lyon 9e Arrondissement);Lyon 9ème;69389;;;www.enedis.fr/aide_contact;200679
202513031;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Réparation de branchement < 25 ml (télécom ou video);Validé;2025-12-15;2026-01-23;;2025-12-16 15:02:03.326175+01:00;"2 endroits ; 1 ère endroit : Face au 189 Chemin du Bac à Traille, 2 ème endroit : à côté 189 Chemin du Bac à Traille (Caluire-et-Cuire)";Caluire et Cuire;69034;;;;200166
202513058;GrDF - Ingénierie;Branchements gaz < 25 ml;Renforcement branchement gaz  < 25 ml;Validé;2026-01-12;2026-01-23;;2025-12-16 15:02:03.213430+01:00;107 Grande rue de Saint Clair (Caluire-et-Cuire);Caluire et Cuire;69034;09 69 36 35 34;;;200455
202513064;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Construction de branchement < 25 ml (télécom ou video);Validé;2025-12-22;2026-01-30;;2025-12-16 15:02:03.376924+01:00;Face au 21 Rue du Château d'Eau (Saint-Genis-les-Ollières);Saint Genis Les Ollieres;69205;;;;200720
202513068;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Construction de branchement < 25 ml (télécom ou video);Validé;2026-01-12;2026-02-20;;2025-12-16 15:02:03.115002+01:00;Angle Rue Jules Cambon, et Avenue Paul Santy (Lyon 8ème Arrondissement);Lyon 8ème;69388;;;;200649
202513104;ORANGE SA;Branchements réseau > 25 ml TELECOM, RMT ET VIDEO;Construction de branchement > 25 ml (télécom ou video);Validé;2025-12-22;2026-01-30;;2025-12-16 15:02:03.785443+01:00;Face  au 61 jusqu'au 75 Rue Clément Marot (Lyon 7ème Arrondissement);Lyon 7ème;69387;;;;200324
202513110;ORANGE SA;Lignes aériennes TELECOM, RMT ET VIDEO;Pose et entretien de supports de ligne aérienne (télécom ou video);Validé;2025-12-22;2026-01-30;;2025-12-16 15:02:03.993587+01:00;Face au 101 Rue Voltaire (Pierre-Bénite);Pierre Benite;69152;;;;200182
202513111;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-07;2026-01-28;;2025-12-16 15:02:03.778315+01:00;Esplanade Nelson Mandela (Lyon 3e Arrondissement);Lyon 3ème;69383;;;www.enedis.fr/aide_contact;200209
202513114;DCE / RT / Rive Droite Sud;Branchements d'assainissement < à 25 ml;Réparation branchement d'assainissement  < 25 ml;Validé;2025-12-22;2026-01-30;;2025-12-16 15:02:03.961646+01:00;17 Rue de Pressensé (Grigny);Grigny;69096;04 28 67 55 20;;;200326
202513123;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2026-01-12;2026-01-30;;2025-12-16 15:02:03.253951+01:00;54 Avenue Rosa Parks (Lyon 9e Arrondissement);Lyon 9ème;69389;09 69 39 69 99;;;200651
202513132;DCE / RT / Rive Gauche;Branchements d'assainissement < à 25 ml;Réparation branchement d'assainissement  < 25 ml;Validé;2026-01-12;2026-02-06;;2025-12-16 15:02:03.426677+01:00;270 Rue André Philip (Lyon 3ème Arrondissement);Lyon 3ème;69383;04 28 67 55 00;;;200457
202513137;GrDF - Branchements;Branchements gaz < 25 ml;Suppression branchement gaz  < 25 ml;Validé;2026-01-12;2026-01-30;;2025-12-16 15:02:03.605765+01:00;11 Rue de la République (Chassieu);Chassieu;69271;09 69 36 35 34;;;200458
202513166;ENEDIS;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Validé;2026-01-05;2026-02-06;;2025-12-16 15:02:03.661142+01:00;18 Rue Marceau, angle Grande Rue  (Oullins);Oullins;69149;;;www.enedis.fr/aide_contact;200185
202513180;GrDF - Ingénierie;Branchements gaz < 25 ml;Réparation branchement gaz  < 25 ml;Validé;2026-01-12;2026-01-26;;2025-12-16 15:02:03.981574+01:00;entre 26 et 28 Rue du Mail (Lyon 4e Arrondissement);Lyon 4ème;69384;09 69 36 35 34;;;200459
202513187;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Renouvellement branchement Eau Potable < 25ml;Validé;2025-12-15;2026-01-30;;2025-12-16 15:02:03.900767+01:00;au 16 Rue Saint Jean (Lyon 5ème Arrondissement);Lyon 5ème;69385;09 69 39 69 99;;;200652
